track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
spotify:track:7lmeHLHBe4nmXzuXc0HDjk,0.47,0.978,7,-5.399,1,0.0727,0.0261,1.09e-05,0.356,0.503,117.906,210133
spotify:track:1wsRitfRRtWyEapl0q22o8,0.599,0.957,11,-5.763999999999999,1,0.188,0.0129,7.06e-05,0.155,0.489,103.68,206200
spotify:track:1hR0fIFK2qRG3f3RF70pb7,0.315,0.97,7,-5.424,1,0.483,0.0234,2.03e-06,0.122,0.37,149.749,298893
spotify:track:2lbASgTSoDO7MTuLAXlTW0,0.44,0.967,11,-5.83,0,0.237,0.163,3.64e-06,0.121,0.574,96.752,213640
spotify:track:1MQTmpYOZ6fcMQc56Hdo7T,0.426,0.929,2,-6.729,1,0.0701,0.00162,0.105,0.0789,0.539,127.059,205600
spotify:track:2LXPNLSMAauNJfnC58lSqY,0.298,0.848,2,-5.947,1,0.0727,0.0538,0.0015199999999999,0.201,0.1939999999999999,148.282,280960
spotify:track:6ZU9RJIZ0fNaFuQM57bDIA,0.478,0.855,4,-7.438,0,0.121,0.0134,3.18e-05,0.179,0.6679999999999999,151.93,243760
spotify:track:3tTL7jlSkowXidYeafFtwG,0.542,0.8420000000000001,1,-7.1370000000000005,1,0.173,0.043,0.000153,0.173,0.301,104.772,335840
spotify:track:1IDAJagxB9AQjjYXaiDK1j,0.574,0.765,4,-7.755,1,0.128,0.0141,0.0037799999999999,0.136,0.613,117.636,294693
spotify:track:4NAm3aWUkQlQcAll13HVEt,0.5479999999999999,0.949,0,-6.58,1,0.0782,0.000222,2.13e-05,0.102,0.7829999999999999,134.075,145733
spotify:track:2E8AVQcuYSlXm12g112Kef,0.6809999999999999,0.335,7,-15.361,1,0.0405,0.674,6.28e-05,0.12,0.389,111.621,279067
spotify:track:5ptYOK56DFsTJ7Nazk4BRv,0.312,0.417,2,-12.057,1,0.136,0.0399,0.000165,0.109,0.0684,49.179,290345
spotify:track:2V9XOpWE0capgHnbJkeAh1,0.777,0.732,9,-8.404,0,0.0331,0.0831,0.000915,0.0585,0.907,114.885,261933
spotify:track:65IWXigdPaOXJM2j4cFY9p,0.7090000000000001,0.63,5,-9.987,0,0.0533,0.0721,4.56e-05,0.0805,0.767,94.195,333680
spotify:track:2x1D20z93vGEjtTP07GOOr,0.626,0.532,9,-7.205,1,0.0276,0.296,0.0,0.123,0.33,130.076,247933
